Journal Name,SCIE,Impact Factor,Quartile,Alias,ISSN,EISSN,JIF5Years,Category
CA-A CANCER JOURNAL FOR CLINICIANS,SCIE,503.1,,CA-CANCER J CLIN,0007-9235,1542-4863,297.0,ONCOLOGY|Q1|1/322
NATURE REVIEWS DRUG DISCOVERY,SCIE,122.7,,NAT REV DRUG DISCOV,1474-1776,1474-1784,114.9,PHARMACOLOGY & PHARMACY|Q1|1/354
LANCET,SCIE,98.4,,LANCET,0140-6736,1474-547X,106.9,"MEDICINE, GENERAL & INTERNAL|Q1|1/325"
NEW ENGLAND JOURNAL OF MEDICINE,SCIE,96.2,,NEW ENGL J MED,0028-4793,1533-4406,94.3,"MEDICINE, GENERAL & INTERNAL|Q1|2/325"
BMJ-British Medical Journal,SCIE,93.6,,BMJ-BRIT MED J,0959-535X,1756-1833,69.9,"MEDICINE, GENERAL & INTERNAL|Q1|3/325"
NATURE REVIEWS MOLECULAR CELL BIOLOGY,SCIE,81.3,,NAT REV MOL CELL BIO,1471-0072,1471-0080,115.5,CELL BIOLOGY|Q1|1/205
Nature Reviews Clinical Oncology,SCIE,81.1,,NAT REV CLIN ONCOL,1759-4774,1759-4782,81.5,ONCOLOGY|Q1|2/322
Nature Reviews Materials,SCIE,79.8,,NAT REV MATER,2058-8437,2058-8437,85.7,NANOSCIENCE & NANOTECHNOLOGY|Q1|1/140
Nature Reviews Disease Primers,SCIE,76.9,,NAT REV DIS PRIMERS,2056-676X,2056-676X,92.6,"MEDICINE, GENERAL & INTERNAL|Q1|4/325"
NATURE REVIEWS CANCER,SCIE,72.5,,NAT REV CANCER,1474-175X,1474-1768,77.2,ONCOLOGY|Q1|3/322
NATURE REVIEWS MICROBIOLOGY,SCIE,69.2,,NAT REV MICROBIOL,1740-1526,1740-1534,81.3,MICROBIOLOGY|Q1|1/161
NATURE REVIEWS IMMUNOLOGY,SCIE,67.7,,NAT REV IMMUNOL,1474-1733,1474-1741,78.1,IMMUNOLOGY|Q1|1/181
