Journal Name,Alias,SCIE,Impact Factor,Quartile
Nature,,Yes,49.96,Q1
Science,,Yes,47.73,Q1
Cell,,Yes,66.85,Q1
The Lancet,Lancet,Yes,168.90,Q1
New England Journal of Medicine,NEJM|N Engl J Med,Yes,158.50,Q1
IEEE Transactions on Pattern Analysis and Machine Intelligence,IEEE Trans Pattern Anal Mach Intell|IEEE TPAMI,Yes,24.31,Q1
IEEE Transactions on Neural Networks and Learning Systems,IEEE Trans Neural Netw Learn Syst,Yes,14.25,Q2
ACM Computing Surveys,ACM Comput Surv,Yes,14.32,Q2
Journal of Machine Learning Research,J Mach Learn Res,Yes,4.91,Q3
Nature Medicine,Nat Med,Yes,58.70,Q1
Journal of Clinical Oncology,J Clin Oncol,Yes,45.30,Q1
